"","lon","lat","MunicipalityID","COD_DANE","Department Name","Municipality Name","Rural Population","Urban Population","Total Population"
"738","-75.03473451","3.888734397","12594",73671,"TOLIMA","SALDANA","6692","8298","14990"
"739","-75.53503057","4.611363151","11678",63690,"QUINDIO","SALENTO","3650","3597","7247"
"740","-76.02969464","5.991760293","11787",5642,"ANTIOQUIA","SALGAR","10321","7885","18206"
"741","-73.5500977","5.447395225","12344",15646,"BOYACA","SAMACA","12752","4862","17614"
"742","-75.06069324","5.580920241","12308",17662,"CALDAS","SAMANA","20671","4978","25649"
"743","-77.7262562","1.437827162","12600",52678,"NARINO","SAMANIEGO","32923","17514","50437"
"744","-75.3569911","9.156298036","12098",70670,"SUCRE","SAMPUES","18172","18309","36481"
"745","-76.43471742","1.863853442","11990",41668,"HUILA","SAN AGUSTIN","19775","9912","29687"
"746","-73.46752931","7.836608745","11895",20710,"CESAR","SAN ALBERTO","5809","14209","20018"
"747","-75.65987865","6.934637841","12263",5647,"ANTIOQUIA","SAN ANDRES DE CUERQUIA","4916","2451","7367"
"748","-75.51625413","9.138774053","12465",23670,"CORDOBA","SAN ANDRES SOTAVENTO","54592","8555","63147"
"749","-75.76797279","9.351262958","11731",23672,"CORDOBA","SAN ANTERO","11717","14406","26123"
"750","-75.50903138","3.953392047","12181",73675,"TOLIMA","SAN ANTONIO","10881","4450","15331"
"751","-74.36328601","4.586849151","11697",25645,"CUNDINAMARCA","SAN ANTONIO DEL TEQUENDAMA","11526","848","12374"
"752","-73.53755439","6.102035797","12010",68673,"SANTANDER","SAN BENITO","3502","405","3907"
"753","-74.97230461","8.835542053","11879",70678,"SUCRE","SAN BENITO ABAD","17426","5546","22972"
"754","-74.35901726","4.129559418","11716",25649,"CUNDINAMARCA","SAN BERNARDO","6446","3888","10334"
"755","-75.95525809","9.325798536","12564",23675,"CORDOBA","SAN BERNARDO DEL VIENTO","23228","8177","31405"
"756","-73.16597738","8.441785605","12456",54670,"NORTE DE SANTANDER","SAN CALIXTO","10764","1817","12581"
"757","-75.69168482","8.696793917","12615",23678,"CORDOBA","SAN CARLOS","19098","4524","23622"
"758","-73.21784823","3.798414823","11982",50680,"META","SAN CARLOS DE GUAROA","3515","3087","6602"
"759","-72.63787245","7.828870371","12545",54673,"NORTE DE SANTANDER","SAN CAYETANO","2906","1587","4493"
"760","-75.09342059","10.35749242","12496",13620,"BOLIVAR","SAN CRISTOBAL","1735","4826","6561"
"761","-73.25398628","10.23677541","12566",20750,"CESAR","SAN DIEGO","6461","7311","13772"
"762","-73.07286767","5.204034602","12442",15660,"BOYACA","SAN EDUARDO","1201","723","1924"
"763","-75.20533036","10.33979065","12551",13647,"BOLIVAR","SAN ESTANISLAO","4381","10931","15312"
"764","-67.46266776","2.111626016","12151",94883,"GUAINIA","SAN FELIPE","1362","0","1362"
"765","-74.41177328","9.077031786","11983",13650,"BOLIVAR","SAN FERNANDO","10225","2740","12965"
"766","-74.97899991","5.859743644","11621",5652,"ANTIOQUIA","SAN FRANCISCO","4118","2277","6395"
"767","-73.13870921","6.544548751","12537",68679,"SANTANDER","SAN GIL","6432","37087","43519"
"768","-75.11719167","9.819493023","11655",13654,"BOLIVAR","SAN JACINTO","2276","19317","21593"
"769","-74.66475501","8.166059061","12638",13655,"BOLIVAR","SAN JACINTO DEL CAUCA","8342","2593","10935"
"770","-75.72720658","6.438226927","11871",5656,"ANTIOQUIA","SAN JERONIMO","8110","3517","11627"
"771","-72.87377047","6.441582988","12190",68682,"SANTANDER","SAN JOAQUIN","2200","748","2948"
"772","-75.8353567","5.073362413","11630",17665,"CALDAS","SAN JOSE","6041","1531","7572"
"773","-75.6975646","6.822048022","12486",5658,"ANTIOQUIA","SAN JOSE DE LA MONTANA","1002","2101","3103"
"774","-72.77361513","6.611116596","11858",68684,"SANTANDER","SAN JOSE DE MIRANDA","3919","936","4855"
"775","-73.55959716","5.976808862","11704",15664,"BOYACA","SAN JOSE DE PARE","4750","969","5719"
"776","-76.1655529","1.307808314","12239",18610,"CAQUETA","SAN JOSE DEL FRAGUA","9342","4540","13882"
"777","-71.91384906","2.354057104","12475",95001,"GUAVIARE","SAN JOSE DEL GUAVIARE","19131","34863","53994"
"778","-76.33791332","4.886985992","11893",27660,"CHOCO","SAN JOSE DEL PALMAR","3913","1155","5068"
"779","-73.81149022","3.211780272","11791",50683,"META","SAN JUAN DE ARAMA","5824","3394","9218"
"780","-75.19410217","9.284864581","12513",70702,"SUCRE","SAN JUAN DE BETULIA","6095","6283","12378"
"781","-74.68247864","4.830764974","12423",25662,"CUNDINAMARCA","SAN JUAN DE RIO SECO","6914","2878","9792"
"782","-76.51130612","8.683038935","12152",5659,"ANTIOQUIA","SAN JUAN DE URABA","14171","6728","20899"
"783","-73.06558864","10.78134065","12161",44650,"LA GUAJIRA","SAN JUAN DEL CESAR","12141","21513","33654"
"784","-75.07425826","9.949767812","11940",13657,"BOLIVAR","SAN JUAN NEPOMUCENO","8787","23727","32514"
"785","-73.69636103","4.429062443","12293",50686,"META","SAN JUANITO","1242","622","1864"
"786","-77.24599815","1.557308281","12634",52687,"NARINO","SAN LORENZO","16234","2164","18398"
"787","-74.96012524","6.003869676","11736",5660,"ANTIOQUIA","SAN LUIS","6303","4706","11009"
"788","-73.15099678","4.79325783","12605",15667,"BOYACA","SAN LUIS DE GACENO","4277","2106","6383"
"789","-71.5970583","5.205331722","11946",85325,"CASANARE","SAN LUIS DE PALENQUE","5559","1856","7415"
"790","-75.16779222","8.576287595","12590",70708,"SUCRE","SAN MARCOS","21175","29504","50679"
"791","-73.61078112","7.91372539","11638",20770,"CESAR","SAN MARTIN","9567","7745","17312"
"792","-74.04507747","8.805362422","12612",13667,"BOLIVAR","SAN MARTIN DE LOBA","8367","5881","14248"
"793","-72.57795923","6.377038308","11753",15673,"BOYACA","SAN MATEO","3319","1471","4790"
"794","-72.66509627","6.557174548","11679",68686,"SANTANDER","SAN MIGUEL","2275","408","2683"
